,1. open,2. high,3. low,4. close,5. volume
2025-02-27,16.6750,17.1100,15.9400,16.1500,3307917
2025-02-26,16.4300,16.7900,16.2500,16.4200,2570606
2025-02-25,16.5200,16.8600,15.7850,16.0800,4406174
2025-02-24,16.4600,16.9200,15.6100,16.5400,3658258
2025-02-21,17.8200,17.9900,16.3100,16.5100,4259674
2025-02-20,18.1700,18.3389,17.2450,17.7700,2701663
2025-02-19,18.8300,18.8300,17.7100,18.1300,4020753
2025-02-18,18.0000,19.2249,17.8400,18.8900,4174474
2025-02-14,17.8300,18.2200,17.6750,17.9700,3027239
2025-02-13,17.1000,17.7850,17.0400,17.4400,3385827
2025-02-12,16.9300,17.0300,16.1800,16.7200,7696109
2025-02-11,17.7400,18.4300,17.1300,17.1900,4465575
2025-02-10,18.4900,19.1944,17.8800,17.9700,13665283
2025-02-07,16.6000,16.6200,15.9600,16.0700,2795953
2025-02-06,16.4300,16.8500,16.2200,16.4600,3369918
2025-02-05,15.7000,16.3500,15.5500,16.1500,5725212
2025-02-04,16.1300,16.2400,15.7400,15.9200,3034598
2025-02-03,15.7500,16.4000,15.5200,16.0300,5592312
2025-01-31,16.5000,17.8300,16.2150,16.5250,7747538
2025-01-30,14.6750,16.8000,14.5000,16.3100,20502038
2025-01-29,16.3320,16.5800,15.9100,16.0100,5177059
2025-01-28,16.0700,16.7400,15.5800,16.7100,4643297
2025-01-27,16.3000,16.9100,15.9200,16.1700,4879641
2025-01-24,16.9300,17.3400,16.4850,16.5400,5468411
2025-01-23,16.7800,17.0000,16.3100,16.8300,3347160
2025-01-22,16.4800,17.0860,16.4800,17.0000,4292647
2025-01-21,16.2600,16.9200,15.7300,16.6700,5582765
2025-01-17,17.0000,17.0911,16.0100,16.0200,6377054
2025-01-16,17.2000,17.6700,16.5000,16.5100,6532457
2025-01-15,16.6000,17.0500,16.4700,16.7300,5385534
2025-01-14,16.4800,17.2500,16.0100,16.1300,7187406
2025-01-13,15.2000,15.7500,14.9200,15.6700,8902584
2025-01-10,15.9400,16.3961,15.5000,15.6500,13251502
2025-01-08,19.0000,19.2000,16.5600,16.9500,21303358
